Index       TIME             V(VREF)     
0        8.00000000e-06    3.43994540e-01
1        8.00003987e-06    3.43993044e-01
2        8.00007315e-06    3.43993563e-01
3        8.00010643e-06    3.43994255e-01
4        8.00017300e-06    3.43994677e-01
5        8.00030612e-06    3.43994287e-01
6        8.00035658e-06    3.43995635e-01
7        8.00040705e-06    3.44003525e-01
8        8.00041378e-06    3.44005879e-01
9        8.00042052e-06    3.44008405e-01
10       8.00043400e-06    3.44014243e-01
11       8.00044747e-06    3.44020486e-01
12       8.00046094e-06    3.44026175e-01
13       8.00047442e-06    3.44030309e-01
14       8.00048789e-06    3.44031835e-01
15       8.00050136e-06    3.44029293e-01
16       8.00051484e-06    3.44015066e-01
17       8.00052831e-06    3.43980053e-01
18       8.00053023e-06    3.43973657e-01
19       8.00053216e-06    3.43967403e-01
20       8.00053408e-06    3.43961482e-01
21       8.00053792e-06    3.43951145e-01
22       8.00054561e-06    3.43937946e-01
23       8.00055330e-06    3.43934293e-01
24       8.00056099e-06    3.43937191e-01
25       8.00056868e-06    3.43942203e-01
26       8.00057637e-06    3.43946224e-01
27       8.00058406e-06    3.43948558e-01
28       8.00059175e-06    3.43949891e-01
29       8.00059944e-06    3.43951330e-01
30       8.00060713e-06    3.43954367e-01
31       8.00061481e-06    3.43960694e-01
32       8.00062250e-06    3.43970179e-01
33       8.00063019e-06    3.43980576e-01
34       8.00063788e-06    3.43989671e-01
35       8.00065326e-06    3.44003070e-01
36       8.00066864e-06    3.44014962e-01
37       8.00068402e-06    3.44021660e-01
38       8.00069786e-06    3.44019897e-01
39       8.00071170e-06    3.44015953e-01
40       8.00072554e-06    3.44011437e-01
41       8.00073938e-06    3.44007019e-01
42       8.00075322e-06    3.44003227e-01
43       8.00076706e-06    3.43999466e-01
44       8.00079474e-06    3.43993849e-01
45       8.00082242e-06    3.43992429e-01
46       8.00085133e-06    3.43993834e-01
47       8.00086657e-06    3.43994413e-01
48       8.00088182e-06    3.43993066e-01
49       8.00089707e-06    3.43990250e-01
50       8.00091232e-06    3.43986450e-01
51       8.00094281e-06    3.43979520e-01
52       8.00097331e-06    3.43978982e-01
53       8.00100000e-06    3.43981938e-01
54       8.00100305e-06    3.43982480e-01
55       8.00100610e-06    3.43982981e-01
56       8.00100915e-06    3.43983440e-01
57       8.00101525e-06    3.43984156e-01
58       8.00102745e-06    3.43985397e-01
59       8.00105184e-06    3.43988216e-01
60       8.00107624e-06    3.43989636e-01
61       8.00110063e-06    3.43992234e-01
62       8.00112503e-06    3.43995710e-01
63       8.00114943e-06    3.43997051e-01
64       8.00117382e-06    3.43997677e-01
65       8.00122261e-06    3.43997252e-01
66       8.00127141e-06    3.43996108e-01
67       8.00136899e-06    3.43993657e-01
68       8.00146657e-06    3.43996120e-01
69       8.00148913e-06    3.43998106e-01
70       8.00153423e-06    3.44004683e-01
71       8.00162443e-06    3.44025604e-01
72       8.00163822e-06    3.44033135e-01
73       8.00165201e-06    3.44044030e-01
74       8.00165683e-06    3.44048027e-01
75       8.00166164e-06    3.44052024e-01
76       8.00166646e-06    3.44055932e-01
77       8.00167610e-06    3.44063201e-01
78       8.00169537e-06    3.44075547e-01
79       8.00171465e-06    3.44084869e-01
80       8.00173392e-06    3.44092137e-01
81       8.00175320e-06    3.44098279e-01
82       8.00177247e-06    3.44105505e-01
83       8.00179175e-06    3.44116749e-01
84       8.00183030e-06    3.44158174e-01
85       8.00186884e-06    3.44232293e-01
86       8.00187354e-06    3.44241025e-01
87       8.00187823e-06    3.44248728e-01
88       8.00188293e-06    3.44254358e-01
89       8.00189232e-06    3.44259034e-01
90       8.00191110e-06    3.44239884e-01
91       8.00191689e-06    3.44225835e-01
92       8.00192268e-06    3.44209962e-01
93       8.00192847e-06    3.44191046e-01
94       8.00193426e-06    3.44170071e-01
95       8.00194584e-06    3.44124490e-01
96       8.00196901e-06    3.44028270e-01
97       8.00199217e-06    3.43934695e-01
98       8.00201533e-06    3.43848115e-01
99       8.00203850e-06    3.43767950e-01
100      8.00206166e-06    3.43697572e-01
101      8.00208482e-06    3.43633853e-01
102      8.00210799e-06    3.43572018e-01
103      8.00213115e-06    3.43515233e-01
104      8.00217748e-06    3.43415240e-01
105      8.00222380e-06    3.43312335e-01
106      8.00227013e-06    3.43171480e-01
107      8.00231646e-06    3.42986981e-01
108      8.00236279e-06    3.42797897e-01
109      8.00236568e-06    3.42791079e-01
110      8.00236858e-06    3.42787040e-01
111      8.00237147e-06    3.42789634e-01
112      8.00237437e-06    3.42800962e-01
113      8.00237726e-06    3.42822971e-01
114      8.00238016e-06    3.42857727e-01
115      8.00238305e-06    3.42905152e-01
116      8.00238345e-06    3.42912493e-01
117      8.00238385e-06    3.42919833e-01
118      8.00238425e-06    3.42927174e-01
119      8.00238505e-06    3.42941855e-01
120      8.00238665e-06    3.42971217e-01
121      8.00238985e-06    3.43029939e-01
122      8.00239625e-06    3.43147376e-01
123      8.00240905e-06    3.43382222e-01
124      8.00243465e-06    3.43851799e-01
125      8.00246025e-06    3.44321225e-01
126      8.00248584e-06    3.44790500e-01
127      8.00250888e-06    3.45212718e-01
128      8.00252962e-06    3.45592610e-01
129      8.00255035e-06    3.45972402e-01
130      8.00255354e-06    3.46030836e-01
131      8.00255992e-06    3.46147699e-01
132      8.00256630e-06    3.46264552e-01
133      8.00257268e-06    3.46381396e-01
134      8.00257907e-06    3.46498231e-01
135      8.00258545e-06    3.46615056e-01
136      8.00259183e-06    3.46731872e-01
137      8.00259821e-06    3.46848679e-01
138      8.00260459e-06    3.46965476e-01
139      8.00261097e-06    3.47082264e-01
140      8.00261735e-06    3.47199043e-01
141      8.00262310e-06    3.47304135e-01
142      8.00262884e-06    3.47409220e-01
143      8.00263458e-06    3.47514298e-01
144      8.00264033e-06    3.47619367e-01
145      8.00265181e-06    3.47829484e-01
146      8.00266330e-06    3.48039570e-01
147      8.00267478e-06    3.48249626e-01
148      8.00269776e-06    3.48669647e-01
149      8.00272073e-06    3.49089546e-01
150      8.00276667e-06    3.49928981e-01
151      8.00281262e-06    3.50767929e-01
152      8.00285856e-06    3.51606392e-01
153      8.00295045e-06    3.53281863e-01
154      8.00304234e-06    3.54955396e-01
155      8.00313424e-06    3.56626993e-01
156      8.00322613e-06    3.58296657e-01
157      8.00324028e-06    3.58553741e-01
158      8.00325444e-06    3.58810802e-01
159      8.00328276e-06    3.59324786e-01
160      8.00331108e-06    3.59838587e-01
161      8.00333940e-06    3.60352205e-01
162      8.00336772e-06    3.60865640e-01
163      8.00339604e-06    3.61378891e-01
164      8.00342436e-06    3.61891960e-01
165      8.00345268e-06    3.62404845e-01
166      8.00348099e-06    3.62917548e-01
167      8.00350931e-06    3.63430068e-01
168      8.00353763e-06    3.63942405e-01
169      8.00356595e-06    3.64454559e-01
170      8.00359427e-06    3.64966530e-01
171      8.00362259e-06    3.65478319e-01
172      8.00365091e-06    3.65989926e-01
173      8.00367922e-06    3.66501350e-01
174      8.00370754e-06    3.67012592e-01
175      8.00376418e-06    3.68034528e-01
